influencer,username,city,posts,impressions,interactions,clicks,videoViews,cpe,ctr,cpc,cpv,Slug
Renan Keller,renankeller, Rio de Janeiro,8,308.718,9.404,758,230.621," R$  0,10 ","0,29%","R$ 20,98","R$ 0,10",
Joãozinho,j0a0zinh0, São Paulo,0,252.789,40.315,411,283.506," R$  0,02 "," R$  0,16 ","R$ 9,91","R$ 0,02",
Qual Rolê | Uberlândia,qualroleudi,Uberlândia,0,0,0,0,0, R$  -   , R$  -   ,,,
Janelas de Ouro Preto,janelasdeouropreto,Ouro Preto,0,0,0,0,0, R$  -   , R$  -   ,,,
Helo Teixeira,heloteixeira,Arraial do Cabo,1,4.457,180,111,4.457," R$  0,11 ","2,49%","R$ 4,50","0,11",
Julia Zaneti,juliazaneti,Ribeirão,7,6.243,277,52,6.243," R$  0,10 ", R$  -   ,"R$ 19,08","R$ 0,10",
Dicas São Sebastião,saosebastiao.sp,São Sebastião,0,0,0,0,0, R$  -   , R$  -   ,,,
Cola em Sampa,colaemsampa,São Paulo,1,1.854,32,30,1.854," R$  0,06 ","1,62%","R$ 3,81","R$ 0,06",
8,,,17,574.061,50.208,1.362,526.681," R$  0,09 ","1,10%"," R$  12,09 "," R$  0,08 ",
